date,time,group,subject,session,build,trialnum,blockcode,trialcode,correct,latency,stimulusnumber1,stimulusitem1,stimulusonset1,stimulusnumber2,stimulusitem2,stimulusonset2,stimulusnumber3,stimulusitem3,stimulusonset3,stimulusnumber4,stimulusitem4,stimulusonset4,stimulusnumber5,stimulusitem5,stimulusonset5,stimulusnumber6,stimulusitem6,stimulusonset6,stimulusnumber7,stimulusitem7,stimulusonset7,stimulusnumber8,stimulusitem8,stimulusonset8,stimulusnumber9,stimulusitem9,stimulusonset9
23.06.22,12:37:34,762566308,893377996,1,06.06.00,1,scale,instructions,1,1624,1,"This is the second of the six tasks. You will be presented with a number of trials. On each trial, you will be asked to make a rating between two categories by clicking a number between 1 and 7.  1 indicates a strong preference for the category presented on the left, whereas 7 represents a strong preference for the category presented on the right. 4 indcates no preference.  When you are ready to begin, please press the spacebar.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.06.22,12:37:34,762566308,893377996,1,06.06.00,2,scale,like,1,1866,1,pleasant1.jpg,14,1,pleasant2.jpg,14,1,pleasant3.jpg,14,1,pleasant4.jpg,14,1,unpleasant1.jpg,14,1,unpleasant2.jpg,14,1,unpleasant3.jpg,14,1,unpleasant4.jpg,14,1,Please use the mouse to click on the desired response option!,14
23.06.22,12:26:48,569179372,994692692,1,06.06.00,1,scale,instructions,1,14241,1,"This is the second of the six tasks. You will be presented with a number of trials. On each trial, you will be asked to make a rating between two categories by clicking a number between 1 and 7.  1 indicates a strong preference for the category presented on the left, whereas 7 represents a strong preference for the category presented on the right. 4 indcates no preference.  When you are ready to begin, please press the spacebar.",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.06.22,12:26:48,569179372,994692692,1,06.06.00,2,scale,like,0,14986,1,pleasant1.jpg,4,1,pleasant2.jpg,4,1,pleasant3.jpg,4,1,pleasant4.jpg,4,1,unpleasant1.jpg,4,1,unpleasant2.jpg,4,1,unpleasant3.jpg,4,1,unpleasant4.jpg,4,1,Please use the mouse to click on the desired response option!,4
23.06.22,12:26:48,569179372,994692692,1,06.06.00,3,scale,positive,0,5821,1,pleasant1.jpg,12,1,pleasant2.jpg,12,1,pleasant3.jpg,12,1,pleasant4.jpg,12,1,unpleasant1.jpg,12,1,unpleasant2.jpg,12,1,unpleasant3.jpg,12,1,unpleasant4.jpg,12,1,Please use the mouse to click on the desired response option!,12
23.06.22,12:26:48,569179372,994692692,1,06.06.00,4,scale,prefer,0,6889,1,pleasant1.jpg,4,1,pleasant2.jpg,4,1,pleasant3.jpg,4,1,pleasant4.jpg,4,1,unpleasant1.jpg,4,1,unpleasant2.jpg,4,1,unpleasant3.jpg,4,1,unpleasant4.jpg,4,1,Please use the mouse to click on the desired response option!,4
23.06.22,12:31:22,318655233,246532124,1,06.06.00,1,scale,instructions,1,4379,1,"This is the second of the six tasks. You will be presented with a number of trials. On each trial, you will be asked to make a rating between two categories by clicking a number between 1 and 7.  1 indicates a strong preference for the category presented on the left, whereas 7 represents a strong preference for the category presented on the right. 4 indcates no preference.  When you are ready to begin, please press the spacebar.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.06.22,12:31:22,318655233,246532124,1,06.06.00,2,scale,like,0,8269,1,pleasant1.jpg,0,1,pleasant2.jpg,0,1,pleasant3.jpg,0,1,pleasant4.jpg,0,1,unpleasant1.jpg,0,1,unpleasant2.jpg,0,1,unpleasant3.jpg,0,1,unpleasant4.jpg,0,1,Please use the mouse to click on the desired response option!,0
23.06.22,12:39:06,793661124,469672453,1,06.06.00,1,scale,instructions,1,14933,1,"This is the second of the six tasks. You will be presented with a number of trials. On each trial, you will be asked to make a rating between two categories by clicking a number between 1 and 7.  1 indicates a strong preference for the category presented on the left, whereas 7 represents a strong preference for the category presented on the right. 4 indcates no preference.  When you are ready to begin, please press the spacebar.",-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.06.22,12:39:06,793661124,469672453,1,06.06.00,2,scale,like,0,12217,1,pleasant1.jpg,-16,1,pleasant2.jpg,-16,1,pleasant3.jpg,-16,1,pleasant4.jpg,-16,1,unpleasant1.jpg,-16,1,unpleasant2.jpg,-16,1,unpleasant3.jpg,-16,1,unpleasant4.jpg,-16,1,Please use the mouse to click on the desired response option!,-16
23.06.22,12:39:06,793661124,469672453,1,06.06.00,3,scale,positive,0,4470,1,pleasant1.jpg,-3,1,pleasant2.jpg,-3,1,pleasant3.jpg,-3,1,pleasant4.jpg,-3,1,unpleasant1.jpg,-3,1,unpleasant2.jpg,-3,1,unpleasant3.jpg,-3,1,unpleasant4.jpg,-3,1,Please use the mouse to click on the desired response option!,-3
23.06.22,12:39:06,793661124,469672453,1,06.06.00,4,scale,prefer,0,1417,1,pleasant1.jpg,-7,1,pleasant2.jpg,-7,1,pleasant3.jpg,-7,1,pleasant4.jpg,-7,1,unpleasant1.jpg,-7,1,unpleasant2.jpg,-7,1,unpleasant3.jpg,-7,1,unpleasant4.jpg,-7,1,Please use the mouse to click on the desired response option!,-7
23.06.22,12:40:15,432010222,902223169,1,06.06.00,1,scale,instructions,1,5723,1,"This is the second of the six tasks. You will be presented with a number of trials. On each trial, you will be asked to make a rating between two categories by clicking a number between 1 and 7.  1 indicates a strong preference for the category presented on the left, whereas 7 represents a strong preference for the category presented on the right. 4 indcates no preference.  When you are ready to begin, please press the spacebar.",-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.06.22,12:40:15,432010222,902223169,1,06.06.00,2,scale,like,0,17582,1,pleasant1.jpg,-16,1,pleasant2.jpg,-16,1,pleasant3.jpg,-16,1,pleasant4.jpg,-16,1,unpleasant1.jpg,-16,1,unpleasant2.jpg,-16,1,unpleasant3.jpg,-16,1,unpleasant4.jpg,-16,1,Please use the mouse to click on the desired response option!,-16
23.06.22,12:40:15,432010222,902223169,1,06.06.00,3,scale,positive,0,5567,1,pleasant1.jpg,-9,1,pleasant2.jpg,-9,1,pleasant3.jpg,-9,1,pleasant4.jpg,-9,1,unpleasant1.jpg,-9,1,unpleasant2.jpg,-9,1,unpleasant3.jpg,-9,1,unpleasant4.jpg,-9,1,Please use the mouse to click on the desired response option!,-9
23.06.22,12:40:15,432010222,902223169,1,06.06.00,4,scale,prefer,0,4366,1,pleasant1.jpg,-9,1,pleasant2.jpg,-9,1,pleasant3.jpg,-9,1,pleasant4.jpg,-9,1,unpleasant1.jpg,-9,1,unpleasant2.jpg,-9,1,unpleasant3.jpg,-9,1,unpleasant4.jpg,-9,1,Please use the mouse to click on the desired response option!,-9
23.06.22,12:40:40,44150083,4345805,1,06.06.00,1,scale,instructions,1,9776,1,"This is the second of the six tasks. You will be presented with a number of trials. On each trial, you will be asked to make a rating between two categories by clicking a number between 1 and 7.  1 indicates a strong preference for the category presented on the left, whereas 7 represents a strong preference for the category presented on the right. 4 indcates no preference.  When you are ready to begin, please press the spacebar.",-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.06.22,12:40:40,44150083,4345805,1,06.06.00,2,scale,like,0,11335,1,pleasant1.jpg,28,1,pleasant2.jpg,28,1,pleasant3.jpg,28,1,pleasant4.jpg,28,1,unpleasant1.jpg,28,1,unpleasant2.jpg,28,1,unpleasant3.jpg,28,1,unpleasant4.jpg,28,1,Please use the mouse to click on the desired response option!,28
23.06.22,12:40:40,44150083,4345805,1,06.06.00,3,scale,positive,0,4042,1,pleasant1.jpg,2,1,pleasant2.jpg,2,1,pleasant3.jpg,2,1,pleasant4.jpg,2,1,unpleasant1.jpg,2,1,unpleasant2.jpg,2,1,unpleasant3.jpg,2,1,unpleasant4.jpg,2,1,Please use the mouse to click on the desired response option!,2
23.06.22,12:40:40,44150083,4345805,1,06.06.00,4,scale,prefer,0,4588,1,pleasant1.jpg,1,1,pleasant2.jpg,1,1,pleasant3.jpg,1,1,pleasant4.jpg,1,1,unpleasant1.jpg,1,1,unpleasant2.jpg,1,1,unpleasant3.jpg,1,1,unpleasant4.jpg,1,1,Please use the mouse to click on the desired response option!,1
23.06.22,13:40:41,930613463,637089700,1,06.06.00,1,scale,instructions,1,28991,1,"This is the second of the six tasks. You will be presented with a number of trials. On each trial, you will be asked to make a rating between two categories by clicking a number between 1 and 7.  1 indicates a strong preference for the category presented on the left, whereas 7 represents a strong preference for the category presented on the right. 4 indcates no preference.  When you are ready to begin, please press the spacebar.",-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.06.22,13:40:41,930613463,637089700,1,06.06.00,2,scale,like,0,12395,1,pleasant1.jpg,-16,1,pleasant2.jpg,-16,1,pleasant3.jpg,-16,1,pleasant4.jpg,-16,1,unpleasant1.jpg,-16,1,unpleasant2.jpg,-16,1,unpleasant3.jpg,-16,1,unpleasant4.jpg,-16,1,Please use the mouse to click on the desired response option!,-16
