unique_id,BFI a1,BFI a2,BFI a3,BFI a4,BFI a5,BFI a6,BFI a7,BFI a8,BFI a9,BFI c1,BFI c2,BFI c3,BFI c4,BFI c5,BFI c6,BFI c7,BFI c8,BFI c9,BFI e1,BFI e2,BFI e3,BFI e4,BFI e5,BFI e6,BFI e7,BFI e8,BFI n1,BFI n2,BFI n3,BFI n4,BFI n5,BFI n6,BFI n7,BFI n8,BFI o1,BFI o10,BFI o2,BFI o3,BFI o4,BFI o5,BFI o6,BFI o7,BFI o8,BFI o9
440109,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,4,4,5,5,5,2,2,5,2,4,5,4,5,3,3,3,6,4,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355243,3,4,3,4,4,2,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,6,4,5,3,5,4
214625,5,4,3,4,5,1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,6,4,4,4,4,2
214148,6,4,1,4,4,5,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,4,4,4,4,5,4,2
213400,2,4,1,3,5,1,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,5,2,3,4,4,6
216503,3,5,6,2,4,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,5,5,4,5,2,6,4
369479,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,5,4,6,4,6,4,6,3,4,5,2,5,3,6,2,5,4,5,4,2,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220525,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,4,2,6,6,6,4,6,4,3,5,4,6,6,5,4,2,5,4,3,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225948,4,5,3,3,2,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,5,5,6,3,6,1
227399,5,3,5,3,4,6,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,5,3,2,4,4,5,4
228671,2,5,1,6,5,4,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,4,5,4,5,2,5,1
232178,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,4,4,2,5,2,5,4,4,2,NA,4,5,5,4,6,2,6,6,1,5,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232474,3,6,2,4,5,4,6,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,6,1,6,1
233978,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,1,6,5,5,4,4,5,5,4,4,5,4,6,2,5,4,2,6,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235367,6,2,3,5,2,6,1,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,5,5,5,3,4,1
238241,2,5,1,5,6,5,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,4,5,4,5,4,5,2
239346,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,1,3,5,5,6,2,6,1,5,5,2,4,2,6,4,3,4,4,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241587,2,5,5,4,6,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,6,6,6,5,5,3,5,2
243747,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,5,4,5,3,5,5,3,4,2,3,3,4,5,5,5,4,4,4,4,5,5,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245717,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,3,3,4,4,4,4,2,6,3,3,6,3,5,3,4,4,3,4,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249730,4,4,4,4,4,1,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,1,3,1,4,3,3,6
251939,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,3,4,4,4,6,4,4,4,4,5,4,3,6,4,3,4,4,4,6,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253188,4,5,2,4,6,3,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,6,6,4,6,2,6,4
253519,2,6,1,5,6,2,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,6,6,5,5,5,6,6
254504,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,5,4,4,4,3,4,4,3,4,4,6,4,4,4,6,2,2,4,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285703,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,4,6,5,3,2,5,6,6,1,4,6,1,2,2,6,6,1,5,6,1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287257,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,4,1,4,5,5,2,6,3,5,5,2,5,4,5,4,4,5,5,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289486,2,6,1,6,6,1,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,5,4,5,5,4,1
289105,5,4,3,4,3,4,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,5,5,5,5,3,5,2
291619,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,4,1,4,NA,4,4,6,5,4,5,4,4,4,5,1,4,3,6,4,2,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293517,4,3,3,4,6,4,6,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,4,5,4,5,4,4,2
296088,1,5,3,6,6,4,6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,6,4,1,5,4,3,6,3
310835,5,3,4,3,2,4,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,4,3,5,1,2,6,1
310981,3,6,2,5,6,5,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,6,6,5,4,5,6,2
311817,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,4,1,6,5,6,1,5,5,6,5,2,6,1,5,1,6,3,1,6,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316021,4,6,1,6,5,6,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,6,5,6,2,1,6,6
314655,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,1,1,6,6,6,5,5,4,5,5,4,6,5,4,1,5,5,4,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329537,5,3,5,3,4,3,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,5,5,3,3,5,4
337414,4,4,4,5,5,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,4,1,4,4,4,4
339121,4,6,3,6,6,1,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,4,5,6,3,1,5,2
343954,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,4,4,6,6,5,3,6,2,4,5,5,6,1,6,4,2,2,1,5,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347838,5,5,4,4,3,4,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,4,6,4,4,4,4,NA
348671,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,5,5,3,3,4,5,2,5,2,3,5,2,5,3,4,2,4,4,3,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354340,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,6,2,4,4,5,2,4,4,4,3,4,4,2,4,2,4,2,2,5,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357132,1,4,1,6,6,1,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,6,6,2,6,2
368445,5,6,6,1,6,4,4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,4,1,3,6,6,NA,6,4
361490,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,5,4,5,5,6,4,6,4,6,6,3,5,5,3,3,4,4,4,5,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365480,1,6,1,6,6,2,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,6,5,6,4,6,3
365691,4,5,2,5,3,2,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,5,6,4,6,2,5,2
365766,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,4,5,3,4,5,4,4,5,5,4,4,5,4,2,4,4,4,6,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366258,2,5,1,5,6,4,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,6,5,5,5,1,5,4
372836,5,5,3,5,5,5,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,6,6,6,3,5,1
388154,5,5,1,5,3,3,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,3,5,4,6,4,5,2
491808,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,2,1,5,6,6,2,2,4,5,3,5,2,4,3,2,5,4,3,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418670,3,4,2,5,5,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,5,5,5,2,6,3
394075,4,5,1,5,3,1,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,6,5,6,4,5,3
401021,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,5,5,6,6,4,2,4,4,3,5,4,2,4,4,5,1,5,6,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419450,2,4,1,6,4,2,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,2,6,1
421489,5,5,2,3,5,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,4,6,6,6,2,6,1
429123,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,4,1,5,6,5,5,4,4,3,5,5,5,3,5,4,5,5,4,5,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429559,4,5,3,6,6,1,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,3,5,5,6,4,4,3
433267,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,4,3,2,5,5,2,1,5,4,2,6,3,5,1,2,4,4,2,6,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435868,2,4,2,6,5,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,5,5,6,1,6,1
442495,2,6,2,6,5,3,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,5,4,4,3,5,4
439554,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,3,2,4,5,3,4,4,3,4,5,4,4,3,1,4,4,2,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440148,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,3,1,5,4,4,3,3,4,5,4,4,4,4,3,2,4,4,1,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446741,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,3,4,4,4,4,4,4,3,3,3,4,3,4,2,5,5,3,6,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
585230,3,5,3,4,5,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,6,4,5,4,4,2
448449,2,4,1,5,6,2,5,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,6,4,5,4,1,6,5
448828,4,4,2,4,6,1,6,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,4,4,4,4,4,5,3
449383,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,4,2,6,5,5,2,3,6,5,5,4,5,5,4,1,5,5,4,6,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
449631,4,4,4,4,4,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,4,5,4,4,4,4,3
466546,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,1,3,6,5,6,4,2,5,3,4,6,4,5,3,2,5,3,4,5,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467663,3,5,3,5,5,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,6,3,6,5
469605,4,4,2,5,4,3,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,5,5,5,3,2,5,5
478588,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,4,4,4,4,4,3,3,4,4,4,4,4,5,2,3,5,5,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
516095,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,4,6,6,6,6,3,6,3,3,6,1,6,5,5,6,6,6,3,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487509,5,5,3,5,5,2,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,4,4,4,2,5,4,4
488298,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,1,4,5,5,4,5,3,5,5,4,5,2,5,3,6,4,4,3,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499594,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,4,2,5,4,5,5,6,1,4,2,2,5,1,6,4,3,3,6,3,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
510366,5,NA,1,6,5,1,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,3,3,4,1,2,4,5
511349,1,5,1,5,5,NA,5,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,4,5,5,4,1,5,3
519468,4,5,3,5,5,1,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,5,5,5,4,2,6,3
