Participant,Block,,Trial,,
Unique_id,block number,block required responses,trial response,Trial accuracy,Trial Reaction Time (in ms)
162402,1,"Black People,White People",Black People,correct,4080
162402,1,"Black People,White People",Black People,correct,3382
162402,1,"Black People,White People",White People,correct,1780
162402,1,"Black People,White People",White People,incorrect,13744
162402,1,"Black People,White People",White People,incorrect,6695
162402,1,"Black People,White People",White People,correct,3297
162402,1,"Black People,White People",Black People,correct,918
162402,1,"Black People,White People",White People,correct,2312
162402,1,"Black People,White People",White People,correct,2816
162402,1,"Black People,White People",Black People,correct,1082
162402,1,"Black People,White People",White People,correct,1953
162402,1,"Black People,White People",White People,correct,2385
162402,1,"Black People,White People",White People,correct,1348
162402,1,"Black People,White People",White People,incorrect,2525
162402,1,"Black People,White People",Black People,correct,1039
162402,1,"Black People,White People",Black People,correct,861
162402,1,"Black People,White People",Black People,correct,650
162402,1,"Black People,White People",Black People,correct,758
162402,1,"Black People,White People",Black People,correct,696
162402,1,"Black People,White People",Black People,correct,810
162402,2,"Bad,Good",Bad,correct,2105
162402,2,"Bad,Good",Good,correct,2674
162402,2,"Bad,Good",Bad,correct,1101
162402,2,"Bad,Good",Good,correct,1581
162402,2,"Bad,Good",Bad,correct,863
162402,2,"Bad,Good",Good,correct,1754
162402,2,"Bad,Good",Good,correct,982
162402,2,"Bad,Good",Good,correct,893
162402,2,"Bad,Good",Good,incorrect,2931
162402,2,"Bad,Good",Bad,correct,1221
162402,2,"Bad,Good",Bad,correct,1574
162402,2,"Bad,Good",Good,correct,814
162402,2,"Bad,Good",Good,correct,1321
162402,2,"Bad,Good",Good,correct,700
162402,2,"Bad,Good",Bad,correct,742
162402,2,"Bad,Good",Good,correct,1292
162402,2,"Bad,Good",Bad,correct,624
162402,2,"Bad,Good",Bad,correct,744
162402,2,"Bad,Good",Bad,correct,584
162402,2,"Bad,Good",Bad,correct,557
162402,3,"Black People/Bad,White People/Good",White People/Good,correct,3660
162402,3,"Black People/Bad,White People/Good",White People/Good,correct,2270
162402,3,"Black People/Bad,White People/Good",Black People/Bad,incorrect,2325
162402,3,"Black People/Bad,White People/Good",Black People/Bad,correct,3478
162402,3,"Black People/Bad,White People/Good",White People/Good,correct,3116
162402,3,"Black People/Bad,White People/Good",Black People/Bad,correct,921
162402,3,"Black People/Bad,White People/Good",White People/Good,incorrect,3779
162402,3,"Black People/Bad,White People/Good",Black People/Bad,correct,1120
162402,3,"Black People/Bad,White People/Good",Black People/Bad,correct,3912
162402,3,"Black People/Bad,White People/Good",White People/Good,correct,2973
162402,3,"Black People/Bad,White People/Good",Black People/Bad,correct,2701
162402,3,"Black People/Bad,White People/Good",White People/Good,correct,2324
162402,3,"Black People/Bad,White People/Good",White People/Good,correct,3734
162402,3,"Black People/Bad,White People/Good",White People/Good,correct,2128
162402,3,"Black People/Bad,White People/Good",Black People/Bad,correct,2289
162402,3,"Black People/Bad,White People/Good",Black People/Bad,correct,914
162402,3,"Black People/Bad,White People/Good",Black People/Bad,correct,1478
162402,3,"Black People/Bad,White People/Good",White People/Good,correct,2080
162402,3,"Black People/Bad,White People/Good",White People/Good,correct,678
